Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_json_zipkin2,45,-0.00666180931800411,0.03638308105778933,-0.009106933426046758
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_protobuf,42,0.010287645999223046,0.2282861864086465,-0.019601895737468605
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_zipkin2,43,0.013468187522873749,0.017347623521830773,0.016409061567627233
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,46,-0.01703251129640237,-0.021770077318209544,-0.020904270385692727
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,22,0.0,0.001925783024409478,0.0007017603676145231
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,30,0.002505435453848698,0.009293902223904369,0.0028149600886023117
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_protobuf,30,0.010762813832237868,0.020872145027604132,0.004974783881710376
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_zipkin2,54,-0.00986872685469089,0.002044168576163056,-0.032617452588295674
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,42,0.019765520214125403,0.21382892757843572,0.0016042259083629783
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,44,0.09424329530901726,0.0820623904971231,0.013463911805691385
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,45,0.017984231258033397,0.058217592266743605,0.007996311626220791
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,42,-0.0005623673305738311,0.029979858180521995,-0.040638997625472316
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,43,-0.030258024681370708,0.06178371197024091,-0.012562360926203251
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,46,-0.0029524948047635275,0.007544118199216566,-0.00033360646481329
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,22,-0.006882924866277327,-0.0031460109958261835,-0.00893977321406142
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,30,-0.0036268230570314086,0.0,-0.023568568126263897
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,30,-0.0022571108819008467,0.014295470316846534,-0.0037935711093027703
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,54,-0.011657082261196827,0.11704807166333599,-0.020851336152103363
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,42,0.004257967202425013,0.023131555365582934,-0.005375182396153343
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,44,0.0017923098177344784,0.005368874481088797,-0.006536265898885444
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,45,0.017373316544384853,0.028919273084430232,0.011742523875480866
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,42,0.006070318632491152,0.041737148168473064,0.00029860017960443885
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_json_zipkin2,43,0.006304218951368991,0.03748366273763739,0.005974825433906962
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_proto3_zipkin2,46,0.0011269343275687363,0.029293915756835737,-0.00023454861812897368
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,22,0.11655253199013467,0.02084226862765119,0.019100499481004275
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,30,-0.014894493435034399,-0.025091409798767613,-0.01565972686901303
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,30,-0.01913253615123675,-0.024180951689252803,-0.005703739200697248
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,54,-0.0111892936445357,0.00160256059143446,-0.014105701204655857
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_proto3_zipkin2,42,0.0019995874607585144,0.0031328504133406785,-0.00026391507533574853
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,44,-0.017386898959536736,0.016749421056857918,-0.039509337204455514
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,45,-0.0016567971883247779,0.04320881688110388,-0.01588719626736426
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,42,0.01921024426184149,0.02835754861216918,-0.001572605630817511
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,43,0.024497922670507717,0.027116602508098782,0.00828237142279989
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,46,0.05019844260168971,0.08677419929993177,0.001011497301836634
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,22,-0.00013505199348447513,0.0,-0.0004792423499189847
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,30,0.009375316952789163,0.009392232407970087,0.004356735811215946
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,30,0.01265238297998622,0.0018739941095132946,0.008517637604445343
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,54,-0.008621558688507986,0.002756904758171848,-0.00980661737490373
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,42,0.013664584271557716,0.01910504452572644,-0.014107703268384085
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,44,0.00048178973871717266,0.015619904572340072,-0.01087738878267054
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,45,-0.0069732385144932,-0.0007213357619997057,-0.006194674880700033
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,42,-0.006844324619786406,-0.0018609280100906067,-0.0028096355508289684
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,43,0.005973504509580923,0.0018551384854716153,-0.003247859797077666
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,46,-0.0034568118485229396,0.001913893332459408,-0.005333432114037815
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,22,0.001326170668953674,0.0014755460382157159,0.000705866009419896
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,30,0.0018478682448919363,0.0009603440333309216,2.3449139161590128e-05
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,30,0.000712642042250434,0.005512744629467103,-0.0005063276299700289
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,54,0.019272953203438366,0.02872451365937947,-0.009381341880841752
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,42,-0.0035216481698720175,0.005250787382563362,-0.0020605950747571277
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,44,-0.008050564334017933,0.01687436221281398,-0.05301042300430488
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,45,0.009832243222555685,0.021913619587283585,0.021549992167174563
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,42,0.01572028114125414,0.1832872671944909,0.0025537177580132737
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,43,0.003333560779889885,0.011531803326903716,-0.0005282959498409145
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,46,0.02424492610945975,0.03224032866232025,0.016852621674647707
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,22,-0.0010866045023308468,0.01379532243779036,0.0009220006058307847
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,30,0.01625996600225325,0.015166929526571804,0.009580142604860807
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,30,0.01103159292759558,0.06138718336566298,0.021046632309859457
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,54,-0.014647768874855457,-0.09704414254302399,-0.041387465751955
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,42,-0.008729823942119455,-0.022449221583800787,-0.04010518010879378
zipkin2.EndpointBenchmarks.parseIpv4_addr,44,0.00822281018433863,0.014695836047601026,-0.08749891803836635
zipkin2.EndpointBenchmarks.parseIpv4_literal,45,0.01359696863110903,0.017667294241566846,0.0032897070741040838
zipkin2.EndpointBenchmarks.parseIpv6_addr,42,0.00183971819410036,0.021423004308235693,0.0011971063006580276
zipkin2.EndpointBenchmarks.parseIpv6_literal,43,0.01747718216689722,0.19456438997041786,-0.014727542812410607
zipkin2.internal.BufferBenchmarks.utf8SizeInBytes_chinese,46,0.03543091790406475,0.02709950530219592,0.0369439176742329
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_32,22,0.059263651238646825,0.028658086655318767,0.001952054184519532
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_64,30,-0.04131765335661896,-0.016180561190059943,-0.011794665158072587
zipkin2.internal.BufferBenchmarks.writeLongLe,30,-0.005839697120021757,-0.014520281199201599,-0.002478661142109573
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese,54,0.020050554669563406,0.016581530460260997,-0.003006265041012714
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese_jdk,42,-0.004311505749613171,0.005683529934983165,-0.003181678852959439
zipkin2.internal.BufferBenchmarks.writeVarint_32,44,-0.009356934145863121,-0.012333788215196347,-0.017499106234869263
zipkin2.internal.BufferBenchmarks.writeVarint_64,45,-0.008079341328760774,0.016371620697994613,-0.01811010617478634
